Date,Day,Price
01-Jan-21,Fri,1901.60
31-Dec-20,Thu,1895.10
30-Dec-20,Wed,1893.40
29-Dec-20,Tue,1882.90
28-Dec-20,Mon,1880.40
24-Dec-20,Thu,1883.20
23-Dec-20,Wed,1878.10
22-Dec-20,Tue,1870.30
21-Dec-20,Mon,1882.80
18-Dec-20,Fri,1888.90
17-Dec-20,Thu,1890.40
16-Dec-20,Wed,1859.10
15-Dec-20,Tue,1855.30
14-Dec-20,Mon,1832.10
11-Dec-20,Fri,1843.60
10-Dec-20,Thu,1837.40
09-Dec-20,Wed,1838.50
08-Dec-20,Tue,1874.90
07-Dec-20,Mon,1866.00
04-Dec-20,Fri,1840.00
03-Dec-20,Thu,1841.10
02-Dec-20,Wed,1830.20
01-Dec-20,Tue,1818.90
30-Nov-20,Mon,1780.90
27-Nov-20,Fri,1788.10
26-Nov-20,Thu,1807.00
25-Nov-20,Wed,1811.20
24-Nov-20,Tue,1810.90
23-Nov-20,Mon,1837.80
20-Nov-20,Fri,1872.40
19-Nov-20,Thu,1861.50
18-Nov-20,Wed,1873.90
17-Nov-20,Tue,1885.10
16-Nov-20,Mon,1887.80
13-Nov-20,Fri,1886.20
12-Nov-20,Thu,1873.30
11-Nov-20,Wed,1861.60
10-Nov-20,Tue,1876.40
09-Nov-20,Mon,1854.40
06-Nov-20,Fri,1951.70
05-Nov-20,Thu,1946.80
04-Nov-20,Wed,1896.20
03-Nov-20,Tue,1910.40
02-Nov-20,Mon,1892.50
30-Oct-20,Fri,1879.90
29-Oct-20,Thu,1868.00
28-Oct-20,Wed,1879.20
27-Oct-20,Tue,1911.90
26-Oct-20,Mon,1905.70
23-Oct-20,Fri,1905.20
22-Oct-20,Thu,1904.60
21-Oct-20,Wed,1929.50
20-Oct-20,Tue,1915.40
19-Oct-20,Mon,1911.70
16-Oct-20,Fri,1906.40
15-Oct-20,Thu,1908.90
14-Oct-20,Wed,1907.30
13-Oct-20,Tue,1894.60
12-Oct-20,Mon,1928.90
09-Oct-20,Fri,1926.20
08-Oct-20,Thu,1895.10
07-Oct-20,Wed,1890.80
06-Oct-20,Tue,1908.80
05-Oct-20,Mon,1920.10
02-Oct-20,Fri,1907.60
01-Oct-20,Thu,1916.30
30-Sep-20,Wed,1895.50
29-Sep-20,Tue,1903.20
28-Sep-20,Mon,1882.30
25-Sep-20,Fri,1866.30
24-Sep-20,Thu,1876.90
23-Sep-20,Wed,1868.40
22-Sep-20,Tue,1907.60
21-Sep-20,Mon,1910.60
18-Sep-20,Fri,1962.10
17-Sep-20,Thu,1949.90
16-Sep-20,Wed,1970.50
15-Sep-20,Tue,1966.20
14-Sep-20,Mon,1963.70
11-Sep-20,Fri,1947.90
10-Sep-20,Thu,1964.30
09-Sep-20,Wed,1954.90
08-Sep-20,Tue,1943.20
07-Sep-20,Mon,1937.10
06-Sep-20,Sun,1940.65
04-Sep-20,Fri,1934.30
03-Sep-20,Thu,1937.80
02-Sep-20,Wed,1944.70
01-Sep-20,Tue,1978.90
31-Aug-20,Mon,1978.60
28-Aug-20,Fri,1974.90
27-Aug-20,Thu,1932.60
26-Aug-20,Wed,1952.50
25-Aug-20,Tue,1923.10
24-Aug-20,Mon,1939.20
21-Aug-20,Fri,1947.00
20-Aug-20,Thu,1946.50
19-Aug-20,Wed,1970.30
18-Aug-20,Tue,2013.10
17-Aug-20,Mon,1998.70
14-Aug-20,Fri,1949.80
13-Aug-20,Thu,1970.40
12-Aug-20,Wed,1949.00
11-Aug-20,Tue,1946.30
10-Aug-20,Mon,2039.70
07-Aug-20,Fri,2028.00
06-Aug-20,Thu,2069.40
05-Aug-20,Wed,2049.30
04-Aug-20,Tue,2021.00
03-Aug-20,Mon,1986.30
31-Jul-20,Fri,1985.90
30-Jul-20,Thu,1966.80
29-Jul-20,Wed,1976.70
28-Jul-20,Tue,1963.90
27-Jul-20,Mon,1955.40
24-Jul-20,Fri,1925.20
23-Jul-20,Thu,1917.40
22-Jul-20,Wed,1892.60
21-Jul-20,Tue,1869.60
20-Jul-20,Mon,1840.10
17-Jul-20,Fri,1833.70
16-Jul-20,Thu,1826.50
15-Jul-20,Wed,1841.60
14-Jul-20,Tue,1841.50
13-Jul-20,Mon,1843.70
10-Jul-20,Fri,1831.30
09-Jul-20,Thu,1833.50
08-Jul-20,Wed,1850.60
07-Jul-20,Tue,1834.30
06-Jul-20,Mon,1816.10
03-Jul-20,Fri,1787.60
02-Jul-20,Thu,1812.00
01-Jul-20,Wed,1801.90
30-Jun-20,Tue,1820.40
29-Jun-20,Mon,1800.10
26-Jun-20,Fri,1798.50
25-Jun-20,Thu,1788.40
24-Jun-20,Wed,1792.60
23-Jun-20,Tue,1797.10
22-Jun-20,Mon,1781.70
19-Jun-20,Fri,1768.60
18-Jun-20,Thu,1747.90
17-Jun-20,Wed,1753.40
16-Jun-20,Tue,1754.40
15-Jun-20,Mon,1744.90
12-Jun-20,Fri,1755.20
11-Jun-20,Thu,1757.60
10-Jun-20,Wed,1739.00
09-Jun-20,Tue,1740.30
08-Jun-20,Mon,1723.80
05-Jun-20,Fri,1701.90
04-Jun-20,Thu,1746.40
03-Jun-20,Wed,1723.50
02-Jun-20,Tue,1749.70
01-Jun-20,Mon,1763.70
29-May-20,Fri,1765.70
28-May-20,Thu,1742.70
27-May-20,Wed,1740.50
26-May-20,Tue,1740.50
25-May-20,Mon,1727.00
24-May-20,Sun,1730.65
22-May-20,Fri,1765.60
21-May-20,Thu,1750.40
20-May-20,Wed,1781.70
19-May-20,Tue,1773.40
18-May-20,Mon,1760.60
15-May-20,Fri,1778.70
14-May-20,Thu,1762.00
13-May-20,Wed,1737.30
12-May-20,Tue,1728.00
11-May-20,Mon,1720.90
08-May-20,Fri,1735.20
07-May-20,Thu,1743.70
06-May-20,Wed,1704.40
05-May-20,Tue,1728.00
04-May-20,Mon,1725.90
01-May-20,Fri,1712.00
30-Apr-20,Thu,1704.90
29-Apr-20,Wed,1722.40
28-Apr-20,Tue,1731.20
27-Apr-20,Mon,1731.40
24-Apr-20,Fri,1741.70
23-Apr-20,Thu,1751.00
22-Apr-20,Wed,1743.50
21-Apr-20,Tue,1692.10
20-Apr-20,Mon,1715.30
17-Apr-20,Fri,1702.70
16-Apr-20,Thu,1736.30
15-Apr-20,Wed,1744.70
14-Apr-20,Tue,1771.20
13-Apr-20,Mon,1762.70
10-Apr-20,Fri,1740.60
09-Apr-20,Thu,1753.60
08-Apr-20,Wed,1684.10
07-Apr-20,Tue,1683.70
06-Apr-20,Mon,1693.10
03-Apr-20,Fri,1646.50
02-Apr-20,Thu,1638.90
01-Apr-20,Wed,1592.50
31-Mar-20,Tue,1597.60
30-Mar-20,Mon,1644.10
27-Mar-20,Fri,1655.00
26-Mar-20,Thu,1662.00
25-Mar-20,Wed,1633.30
24-Mar-20,Tue,1663.00
23-Mar-20,Mon,1581.40
20-Mar-20,Fri,1495.10
19-Mar-20,Thu,1489.40
18-Mar-20,Wed,1487.10
17-Mar-20,Tue,1534.10
16-Mar-20,Mon,1493.80
13-Mar-20,Fri,1524.90
12-Mar-20,Thu,1598.80
11-Mar-20,Wed,1650.80
10-Mar-20,Tue,1669.00
09-Mar-20,Mon,1684.10
06-Mar-20,Fri,1683.00
05-Mar-20,Thu,1680.40
04-Mar-20,Wed,1656.50
03-Mar-20,Tue,1658.80
02-Mar-20,Mon,1609.70
28-Feb-20,Fri,1583.60
27-Feb-20,Thu,1661.40
26-Feb-20,Wed,1662.90
25-Feb-20,Tue,1670.20
24-Feb-20,Mon,1697.10
21-Feb-20,Fri,1669.10
20-Feb-20,Thu,1640.80
19-Feb-20,Wed,1632.20
18-Feb-20,Tue,1624.00
17-Feb-20,Mon,1587.05
16-Feb-20,Sun,1586.25
14-Feb-20,Fri,1606.90
13-Feb-20,Thu,1599.60
12-Feb-20,Wed,1592.40
11-Feb-20,Tue,1591.10
10-Feb-20,Mon,1600.70
07-Feb-20,Fri,1595.00
06-Feb-20,Thu,1591.70
05-Feb-20,Wed,1584.70
04-Feb-20,Tue,1577.50
03-Feb-20,Mon,1604.00
31-Jan-20,Fri,1609.40
30-Jan-20,Thu,1610.70
29-Jan-20,Wed,1597.90
28-Jan-20,Tue,1596.90
27-Jan-20,Mon,1604.60
24-Jan-20,Fri,1599.00
23-Jan-20,Thu,1592.10
22-Jan-20,Wed,1583.50
21-Jan-20,Tue,1584.70
20-Jan-20,Mon,1561.25
19-Jan-20,Sun,1557.05
17-Jan-20,Fri,1587.20
16-Jan-20,Thu,1576.90
15-Jan-20,Wed,1580.30
14-Jan-20,Tue,1571.20
13-Jan-20,Mon,1577.50
10-Jan-20,Fri,1587.00
09-Jan-20,Thu,1581.40
08-Jan-20,Wed,1587.00
07-Jan-20,Tue,1601.30
06-Jan-20,Mon,1596.10
03-Jan-20,Fri,1579.60
02-Jan-20,Thu,1555.20
01-Jan-20,Wed,1520.95
31-Dec-19,Tue,1550.60
30-Dec-19,Mon,1545.40
27-Dec-19,Fri,1544.40
26-Dec-19,Thu,1540.30
25-Dec-19,Wed,1504.05
24-Dec-19,Tue,1530.50
23-Dec-19,Mon,1514.40
20-Dec-19,Fri,1506.40
19-Dec-19,Thu,1510.00
18-Dec-19,Wed,1504.30
17-Dec-19,Tue,1506.80
16-Dec-19,Mon,1506.70
13-Dec-19,Fri,1506.90
12-Dec-19,Thu,1497.50
11-Dec-19,Wed,1500.10
10-Dec-19,Tue,1493.20
09-Dec-19,Mon,1489.80
06-Dec-19,Fri,1489.90
05-Dec-19,Thu,1507.50
04-Dec-19,Wed,1504.50
03-Dec-19,Tue,1508.60
02-Dec-19,Mon,1493.10
29-Nov-19,Fri,1496.60
28-Nov-19,Thu,1462.25
27-Nov-19,Wed,1484.40
26-Nov-19,Tue,1491.00
25-Nov-19,Mon,1488.10
22-Nov-19,Fri,1494.40
21-Nov-19,Thu,1494.00
20-Nov-19,Wed,1504.50
19-Nov-19,Tue,1504.80
18-Nov-19,Mon,1502.40
15-Nov-19,Fri,1499.10
14-Nov-19,Thu,1504.00
13-Nov-19,Wed,1493.90
12-Nov-19,Tue,1484.20
11-Nov-19,Mon,1488.00
08-Nov-19,Fri,1496.30
07-Nov-19,Thu,1497.70
06-Nov-19,Wed,1523.90
05-Nov-19,Tue,1514.50
04-Nov-19,Mon,1541.60
01-Nov-19,Fri,1541.30
31-Oct-19,Thu,1544.00
30-Oct-19,Wed,1526.50
29-Oct-19,Tue,1520.60
28-Oct-19,Mon,1525.80
25-Oct-19,Fri,1535.10
24-Oct-19,Thu,1533.90
23-Oct-19,Wed,1524.90
22-Oct-19,Tue,1516.60
21-Oct-19,Mon,1517.30
18-Oct-19,Fri,1523.00
17-Oct-19,Thu,1527.80
16-Oct-19,Wed,1523.40
15-Oct-19,Tue,1513.10
14-Oct-19,Mon,1527.10
11-Oct-19,Fri,1517.80
10-Oct-19,Thu,1529.70
09-Oct-19,Wed,1541.10
08-Oct-19,Tue,1531.90
07-Oct-19,Mon,1532.50
04-Oct-19,Fri,1540.70
03-Oct-19,Thu,1541.30
02-Oct-19,Wed,1536.80
01-Oct-19,Tue,1518.00
30-Sep-19,Mon,1502.30
27-Sep-19,Fri,1536.10
26-Sep-19,Thu,1545.00
25-Sep-19,Wed,1542.00
24-Sep-19,Tue,1570.10
23-Sep-19,Mon,1561.60
20-Sep-19,Fri,1545.30
19-Sep-19,Thu,1536.40
18-Sep-19,Wed,1546.10
17-Sep-19,Tue,1544.10
16-Sep-19,Mon,1542.30
13-Sep-19,Fri,1530.70
12-Sep-19,Thu,1537.80
11-Sep-19,Wed,1532.40
10-Sep-19,Tue,1528.10
09-Sep-19,Mon,1539.60
06-Sep-19,Fri,1543.30
05-Sep-19,Thu,1552.90
04-Sep-19,Wed,1587.40
03-Sep-19,Tue,1583.20
02-Sep-19,Mon,1535.15
01-Sep-19,Sun,1538.05
30-Aug-19,Fri,1557.20
29-Aug-19,Thu,1564.00
28-Aug-19,Wed,1575.30
27-Aug-19,Tue,1578.00
26-Aug-19,Mon,1563.10
23-Aug-19,Fri,1563.50
22-Aug-19,Thu,1534.40
21-Aug-19,Wed,1541.50
20-Aug-19,Tue,1541.30
19-Aug-19,Mon,1537.20
16-Aug-19,Fri,1549.20
15-Aug-19,Thu,1556.70
14-Aug-19,Wed,1554.00
13-Aug-19,Tue,1540.70
12-Aug-19,Mon,1543.00
09-Aug-19,Fri,1534.50
08-Aug-19,Thu,1535.00
07-Aug-19,Wed,1544.60
06-Aug-19,Tue,1509.70
05-Aug-19,Mon,1502.60
02-Aug-19,Fri,1485.30
01-Aug-19,Thu,1461.50
31-Jul-19,Wed,1466.30
30-Jul-19,Tue,1470.30
29-Jul-19,Mon,1461.70
26-Jul-19,Fri,1460.40
25-Jul-19,Thu,1454.40
24-Jul-19,Wed,1462.90
23-Jul-19,Tue,1460.80
22-Jul-19,Mon,1466.00
19-Jul-19,Fri,1465.50
18-Jul-19,Thu,1467.20
17-Jul-19,Wed,1462.50
16-Jul-19,Tue,1450.20
15-Jul-19,Mon,1452.30
12-Jul-19,Fri,1450.90
11-Jul-19,Thu,1445.30
10-Jul-19,Wed,1450.50
09-Jul-19,Tue,1438.30
08-Jul-19,Mon,1437.30
05-Jul-19,Fri,1436.60
04-Jul-19,Thu,1423.55
03-Jul-19,Wed,1456.00
02-Jul-19,Tue,1442.80
01-Jul-19,Mon,1423.60
28-Jun-19,Fri,1446.80
27-Jun-19,Thu,1444.50
26-Jun-19,Wed,1447.80
25-Jun-19,Tue,1451.30
24-Jun-19,Mon,1450.90
21-Jun-19,Fri,1432.70
20-Jun-19,Thu,1429.40
19-Jun-19,Wed,1384.40
18-Jun-19,Tue,1387.40
17-Jun-19,Mon,1379.60
14-Jun-19,Fri,1381.50
13-Jun-19,Thu,1380.70
12-Jun-19,Wed,1373.80
11-Jun-19,Tue,1369.00
10-Jun-19,Mon,1366.90
07-Jun-19,Fri,1381.90
06-Jun-19,Thu,1378.50
05-Jun-19,Wed,1370.20
04-Jun-19,Tue,1366.50
03-Jun-19,Mon,1365.30
31-May-19,Fri,1349.60
30-May-19,Thu,1332.90
29-May-19,Wed,1326.50
28-May-19,Tue,1323.30
27-May-19,Mon,1284.95
26-May-19,Sun,1284.15
24-May-19,Fri,1330.10
23-May-19,Thu,1331.80
22-May-19,Wed,1321.30
21-May-19,Tue,1320.10
20-May-19,Mon,1324.20
17-May-19,Fri,1322.50
16-May-19,Thu,1333.10
15-May-19,Wed,1344.50
14-May-19,Tue,1343.40
13-May-19,Mon,1350.20
10-May-19,Fri,1337.20
09-May-19,Thu,1335.10
08-May-19,Wed,1331.40
07-May-19,Tue,1335.80
06-May-19,Mon,1334.00
03-May-19,Fri,1331.70
02-May-19,Thu,1322.20
01-May-19,Wed,1334.20
30-Apr-19,Tue,1335.70
29-Apr-19,Mon,1331.60
26-Apr-19,Fri,1339.20
25-Apr-19,Thu,1330.20
24-Apr-19,Wed,1329.90
23-Apr-19,Tue,1323.80
22-Apr-19,Mon,1328.50
19-Apr-19,Fri,1277.90
18-Apr-19,Thu,1326.90
17-Apr-19,Wed,1327.60
16-Apr-19,Tue,1328.10
15-Apr-19,Mon,1342.40
12-Apr-19,Fri,1346.30
11-Apr-19,Thu,1343.40
10-Apr-19,Wed,1363.90
09-Apr-19,Tue,1358.40
08-Apr-19,Mon,1351.90
05-Apr-19,Fri,1345.20
04-Apr-19,Thu,1343.50
03-Apr-19,Wed,1344.00
02-Apr-19,Tue,1343.90
01-Apr-19,Mon,1342.70
29-Mar-19,Fri,1346.00
28-Mar-19,Thu,1342.40
27-Mar-19,Wed,1363.80
26-Mar-19,Tue,1369.30
25-Mar-19,Mon,1378.10
22-Mar-19,Fri,1369.30
21-Mar-19,Thu,1364.50
20-Mar-19,Wed,1359.50
19-Mar-19,Tue,1364.70
18-Mar-19,Mon,1359.40
15-Mar-19,Fri,1360.60
14-Mar-19,Thu,1352.90
13-Mar-19,Wed,1368.10
12-Mar-19,Tue,1356.60
11-Mar-19,Mon,1350.00
08-Mar-19,Fri,1358.50
07-Mar-19,Thu,1344.90
06-Mar-19,Wed,1346.50
05-Mar-19,Tue,1343.50
04-Mar-19,Mon,1346.30
01-Mar-19,Fri,1358.30
28-Feb-19,Thu,1375.30
27-Feb-19,Wed,1380.50
26-Feb-19,Tue,1387.90
25-Feb-19,Mon,1389.00
22-Feb-19,Fri,1392.50
21-Feb-19,Thu,1387.20
20-Feb-19,Wed,1406.70
19-Feb-19,Tue,1403.90
18-Feb-19,Mon,1329.55
17-Feb-19,Sun,1324.25
15-Feb-19,Fri,1381.20
14-Feb-19,Thu,1373.20
13-Feb-19,Wed,1374.60
12-Feb-19,Tue,1373.20
11-Feb-19,Mon,1371.20
08-Feb-19,Fri,1377.80
07-Feb-19,Thu,1373.60
06-Feb-19,Wed,1373.80
05-Feb-19,Tue,1378.60
04-Feb-19,Mon,1378.30
01-Feb-19,Fri,1381.10
31-Jan-19,Thu,1384.00
30-Jan-19,Wed,1375.90
29-Jan-19,Tue,1375.60
28-Jan-19,Mon,1369.80
25-Jan-19,Fri,1364.00
24-Jan-19,Thu,1344.90
23-Jan-19,Wed,1349.30
22-Jan-19,Tue,1348.40
21-Jan-19,Mon,1279.05
20-Jan-19,Sun,1282.05
18-Jan-19,Fri,1348.10
17-Jan-19,Thu,1357.90
16-Jan-19,Wed,1359.30
15-Jan-19,Tue,1353.70
14-Jan-19,Mon,1357.20
11-Jan-19,Fri,1355.40
10-Jan-19,Thu,1353.00
09-Jan-19,Wed,1357.30
08-Jan-19,Tue,1351.10
07-Jan-19,Mon,1355.20
04-Jan-19,Fri,1351.00
03-Jan-19,Thu,1359.80
02-Jan-19,Wed,1349.50
01-Jan-19,Tue,1283.35
31-Dec-18,Mon,1347.10
28-Dec-18,Fri,1348.30
27-Dec-18,Thu,1346.50
26-Dec-18,Wed,1338.30
25-Dec-18,Tue,1270.75
24-Dec-18,Mon,1337.00
21-Dec-18,Fri,1323.10
20-Dec-18,Thu,1333.10
19-Dec-18,Wed,1321.30
18-Dec-18,Tue,1318.50
17-Dec-18,Mon,1317.40
14-Dec-18,Fri,1307.00
13-Dec-18,Thu,1313.20
12-Dec-18,Wed,1315.80
11-Dec-18,Tue,1312.90
10-Dec-18,Mon,1314.80
07-Dec-18,Fri,1319.50
06-Dec-18,Thu,1310.20
05-Dec-18,Wed,1309.60
04-Dec-18,Tue,1313.60
03-Dec-18,Mon,1306.40
30-Nov-18,Fri,1292.70
29-Nov-18,Thu,1297.00
28-Nov-18,Wed,1296.40
27-Nov-18,Tue,1286.50
26-Nov-18,Mon,1295.80
23-Nov-18,Fri,1296.10
22-Nov-18,Thu,1228.00
21-Nov-18,Wed,1300.80
20-Nov-18,Tue,1293.40
19-Nov-18,Mon,1297.50
16-Nov-18,Fri,1294.90
15-Nov-18,Thu,1287.60
14-Nov-18,Wed,1283.20
13-Nov-18,Tue,1274.70
12-Nov-18,Mon,1276.80
09-Nov-18,Fri,1282.20
08-Nov-18,Thu,1299.30
07-Nov-18,Wed,1302.80
06-Nov-18,Tue,1300.40
05-Nov-18,Mon,1306.40
02-Nov-18,Fri,1307.30
01-Nov-18,Thu,1312.20
31-Oct-18,Wed,1288.20
30-Oct-18,Tue,1298.90
29-Oct-18,Mon,1301.10
26-Oct-18,Fri,1309.70
25-Oct-18,Thu,1306.70
24-Oct-18,Wed,1305.50
23-Oct-18,Tue,1312.00
22-Oct-18,Mon,1299.80
19-Oct-18,Fri,1303.80
18-Oct-18,Thu,1305.10
17-Oct-18,Wed,1301.90
16-Oct-18,Tue,1305.80
15-Oct-18,Mon,1305.40
12-Oct-18,Fri,1296.30
11-Oct-18,Thu,1302.30
10-Oct-18,Wed,1267.70
09-Oct-18,Tue,1265.80
08-Oct-18,Mon,1262.90
05-Oct-18,Fri,1280.20
04-Oct-18,Thu,1275.50
03-Oct-18,Wed,1276.70
02-Oct-18,Tue,1280.70
01-Oct-18,Mon,1264.40
28-Sep-18,Fri,1268.70
27-Sep-18,Thu,1259.80
26-Sep-18,Wed,1271.80
25-Sep-18,Tue,1278.20
24-Sep-18,Mon,1277.40
21-Sep-18,Fri,1274.30
20-Sep-18,Thu,1284.40
19-Sep-18,Wed,1281.50
18-Sep-18,Tue,1275.70
17-Sep-18,Mon,1278.40
14-Sep-18,Fri,1273.80
13-Sep-18,Thu,1281.00
12-Sep-18,Wed,1283.90
11-Sep-18,Tue,1274.40
10-Sep-18,Mon,1271.60
07-Sep-18,Fri,1272.10
06-Sep-18,Thu,1275.70
05-Sep-18,Wed,1272.60
04-Sep-18,Tue,1270.20
03-Sep-18,Mon,1206.30
02-Sep-18,Sun,1204.90
31-Aug-18,Fri,1277.70
30-Aug-18,Thu,1276.10
29-Aug-18,Wed,1283.30
28-Aug-18,Tue,1286.40
27-Aug-18,Mon,1288.00
24-Aug-18,Fri,1285.00
23-Aug-18,Thu,1265.20
22-Aug-18,Wed,1275.80
21-Aug-18,Tue,1272.80
20-Aug-18,Mon,1267.50
17-Aug-18,Fri,1258.10
16-Aug-18,Thu,1258.00
15-Aug-18,Wed,1259.70
14-Aug-18,Tue,1275.90
13-Aug-18,Mon,1274.10
10-Aug-18,Fri,1294.60
09-Aug-18,Thu,1295.80
08-Aug-18,Wed,1296.80
07-Aug-18,Tue,1294.20
06-Aug-18,Mon,1293.60
03-Aug-18,Fri,1299.40
02-Aug-18,Thu,1296.20
01-Aug-18,Wed,1304.00
31-Jul-18,Tue,1309.80
30-Jul-18,Mon,1307.70
27-Jul-18,Fri,1309.00
26-Jul-18,Thu,1311.50
25-Jul-18,Wed,1316.70
24-Jul-18,Tue,1310.80
23-Jul-18,Mon,1310.70
20-Jul-18,Fri,1316.80
19-Jul-18,Thu,1310.40
18-Jul-18,Wed,1315.00
17-Jul-18,Tue,1314.60
